 original      webp   saved                 dims    rms  file
--------------------------------------------------------------------------------------------------------------
  33.40MB     440KB     99% 11232x13824 -> 3250x4000   5.88  public/images/Marketing Campaigns/Environmental graphics/DISTANCE.png
  12.92MB     683KB     95% 10224x4093 -> 4000x1601   8.81  public/images/Marketing Campaigns/Illustration and iconography/SCALE.jpg
   8.43MB     260KB     97% 4536x11339 -> 1600x4000   4.27  public/images/Marketing Campaigns/Environmental graphics/VOLUME.png
   6.77MB     366KB     94% 6401x4801 -> 4000x3000   4.14  public/images/Marketing Campaigns/Social campaign systems/LIST.jpg
   5.24MB     198KB     96%            2940x1536   2.38  public/images/Brand Identity/Portfolio Website/2.png
   4.77MB     202KB     96%            2940x1336   2.35  public/images/Brand Identity/Portfolio Website/1.png
   2.55MB     146KB     94%            1190x1684   4.06  public/images/Marketing Campaigns/Brochures and reports/COMPRESSION/page-01.png
   2.39MB     134KB     94%            1190x1684   2.94  public/images/Marketing Campaigns/Brochures and reports/DENSITY/page-06.png
   2.22MB     154KB     93%            1190x1684   2.92  public/images/Marketing Campaigns/Brochures and reports/DENSITY/page-01.png
   1.91MB      42KB     98%             2676x628   1.80  public/images/Brand Identity/Portfolio Website/3.png
   1.68MB      91KB     94%            1190x1684   3.23  public/images/Marketing Campaigns/Brochures and reports/COMPRESSION/page-04.png
   1.81MB     333KB     81% 5184x10368 -> 2000x4000   6.10  public/images/Marketing Campaigns/Environmental graphics/ARRIVAL/standee.png
   1.59MB     304KB     80% 6912x6912 -> 4000x4000   3.11  public/images/Marketing Campaigns/Environmental graphics/ARRIVAL/welcome-board.png
   1.35MB     104KB     92%            1190x1684   4.25  public/images/Marketing Campaigns/Brochures and reports/COMPRESSION/page-02.png
   1.29MB     100KB     92%            2486x1142   1.81  public/images/UIUX/GlobelA/ORIENTATION.png
   1.35MB     196KB     85%            2485x1574   2.24  public/images/UIUX/Healthdesk/Persona.jpg
   1.13MB      68KB     94%            1920x1080   1.94  public/images/Brand Identity/Portfolio Website/thumbnail.png
    922KB      79KB     91%            2940x1464   1.70  public/images/UIUX/Prudent/Diagnosis.png
    943KB     108KB     89%            1190x1684   3.29  public/images/Marketing Campaigns/Brochures and reports/COMPRESSION/page-03.png
   1.01MB     191KB     81%            1190x1684   3.03  public/images/Marketing Campaigns/Brochures and reports/DENSITY/page-04.png
    855KB     164KB     81%            1190x1684   2.92  public/images/Marketing Campaigns/Brochures and reports/DENSITY/page-02.png
    652KB      50KB     92%            1080x1080   2.09  public/images/Marketing Campaigns/Social campaign systems/NARRATIVE/4.png
   1.00MB     380KB     61%              820x466   6.53  public/images/homegrid/Design/card11_food_illustration.png
    647KB      51KB     92%            1080x1080   2.02  public/images/Marketing Campaigns/Social campaign systems/NARRATIVE/2.png
    949KB     364KB     62%            2048x1536   2.77  public/images/homegrid/Travel/travel07_landscape.jpg
    620KB      61KB     90%            1080x1080   1.96  public/images/Marketing Campaigns/Social campaign systems/NARRATIVE/1.png
    686KB     137KB     80%            1190x1684   2.32  public/images/Marketing Campaigns/Brochures and reports/DENSITY/page-05.png
    755KB     223KB     71%            2304x1536   2.23  public/images/homegrid/Travel/travel06_landscape.jpg
    623KB      95KB     85%            3334x2500   1.52  public/images/Marketing Campaigns/Illustration and iconography/SERIES/Copy of Illus-02.jpg
    585KB      65KB     89%            1080x1080   2.27  public/images/Marketing Campaigns/Social campaign systems/NARRATIVE/3.png
    553KB      40KB     93%            1080x1080   1.99  public/images/Marketing Campaigns/Social campaign systems/NARRATIVE/5.png
    576KB      74KB     87%             1440x750   2.81  public/images/Marketing Campaigns/Social campaign systems/PLACE.jpg
    583KB      95KB     84%            2486x1308   1.74  public/images/UIUX/Prudent/HIERARCHY.png
    540KB      76KB     86%            3334x2501   1.33  public/images/Marketing Campaigns/Illustration and iconography/SERIES/Copy of Illus-06.jpg
    519KB      62KB     88%            3334x2501   1.30  public/images/Marketing Campaigns/Illustration and iconography/SERIES/Copy of Illus-04.jpg
    532KB      77KB     85%            3334x2500   1.52  public/images/Marketing Campaigns/Illustration and iconography/SERIES/Copy of Illus-01.jpg
    495KB      55KB     89%            3334x2501   1.41  public/images/Marketing Campaigns/Illustration and iconography/SERIES/Copy of Illus-03.jpg
    457KB      21KB     95%              820x465   2.41  public/images/homegrid/Design/card14_city_illustration.png
    535KB     103KB     81% 4752x5184 -> 3667x4000   2.05  public/images/Marketing Campaigns/Environmental graphics/ARRIVAL/photo-frame.png
    448KB      48KB     89%            3334x2501   0.95  public/images/Marketing Campaigns/Illustration and iconography/SERIES/Copy of Illus-05.jpg
    471KB      72KB     85%             1667x617   2.94  public/images/UIUX/GlobelA/REASSURANCE.jpg
    456KB      59KB     87%            3334x2501   1.06  public/images/Marketing Campaigns/Illustration and iconography/SERIES/Copy of Illus-07.jpg
    408KB      44KB     89%              820x466   2.72  public/images/homegrid/Design/card12_phones_travel.png
    388KB      30KB     92%              820x466   3.38  public/images/homegrid/Design/card13_six_reasons_freshworks.png
    405KB      53KB     87%              595x842   4.00  public/images/Marketing Campaigns/Brochures and reports/EDITORIAL/Cover.png
    412KB      64KB     84%             1312x890   2.58  public/images/UIUX/PowerBI Dashboards/PORTFOLIO.png
    365KB      25KB     93%              820x466   2.64  public/images/homegrid/Design/card07_iprovision.png
    400KB      59KB     85%             1360x768   3.70  public/images/UIUX/PowerBI Dashboards/ENGAGEMENT.png
    393KB      65KB     84%             1310x738   4.30  public/images/UIUX/PowerBI Dashboards/PERFORMANCE.png
    364KB      43KB     88%              595x842   2.51  public/images/Marketing Campaigns/Brochures and reports/EDITORIAL/Ebook TOC.png
    381KB      69KB     82%              595x842   5.21  public/images/Marketing Campaigns/Brochures and reports/EDITORIAL/Content Page 3.png
    325KB      37KB     89%              820x465   2.74  public/images/homegrid/Design/card08_ufo_desert.png
    416KB     140KB     66%            1190x1684   2.70  public/images/Marketing Campaigns/Brochures and reports/DENSITY/page-03.png
    269KB      32KB     88%              910x752   2.04  public/images/Photo Frame/1 Anime me.png
    251KB      19KB     93%              820x466   2.05  public/images/homegrid/Design/card20_man_thinking.png
    289KB      57KB     80%             1318x682   2.57  public/images/Brand Identity/Uplift/REFERENCES.png
    319KB      87KB     73%            3000x1570   1.65  public/images/Marketing Campaigns/Social campaign systems/VERTICALS/5.png
    293KB      89KB     70%            3000x1570   1.59  public/images/Marketing Campaigns/Social campaign systems/VERTICALS/1.png
    292KB      89KB     69%            3000x1570   1.88  public/images/Marketing Campaigns/Social campaign systems/VERTICALS/6.png
    294KB      94KB     68%            3000x1570   2.29  public/images/Marketing Campaigns/Social campaign systems/VERTICALS/3.png
    291KB      92KB     68%            3000x1570   1.87  public/images/Marketing Campaigns/Social campaign systems/VERTICALS/4.png
